mktcap,symbol,score,name,weight
738720000.0,NASDAQ:TPIC,20.12941516434018,"TPI Composites, Inc.",0.017248697872035704
708390000.0,NASDAQ:ARII,17.36491414495259,"American Railcar Industries, Inc.",0.014880006019791654
33000000.0,NASDAQ:CETX,16.20525890871271,Cemtrex Inc.,0.01388469052998003
1680000000.0,NYSE:BHE,15.666899470424744,"Benchmark Electronics, Inc.",0.01342763797116214
374860000.0,NASDAQ:JASO,14.7060348593408,"JA Solar Holdings, Co., Ltd.",0.012601035115509272
940370000.0,NYSE:BGC,13.975641007584393,General Cable Corporation,0.011976682515918827
559080000.0,NASDAQ:KE,13.315504416064194,"Kimball Electronics, Inc.",0.011410104854210207
51600000.0,AMEX:IEC,12.327264961353386,IEC Electronics Corp.,0.01056208716591556
1540000000.0,NYSE:DDD,12.3058678726978,3D Systems Corporation,0.010547560460872313
26390000.0,NASDAQ:TORM,12.25332904899486,TOR Minerals International Inc,0.010498674679759495
681520000.0,NASDAQ:HQCL,11.444051455150694,"Hanwha Q CELLS Co., Ltd. ",0.00980696396312025
17900000.0,AMEX:TRT,11.245197214888531,Trio-Tech International,0.009634889326576536
1890000000.0,NASDAQ:EXPO,10.48257936146489,"Exponent, Inc.",0.008986268625371273
6300000.0,NASDAQ:NFEC,10.20396509786742,NF Energy Saving Corporation,0.008742735819806996
748140000.0,NASDAQ:SCHN,9.970536400625319,"Schnitzer Steel Industries, Inc.",0.008544632057547989
235310000.0,NASDAQ:KNDI,9.531361946870657,"Kandi Technologies Group, Inc.",0.008167037558164066
3070000000.0,NASDAQ:IMI,9.22038563173111,"Intermolecular, Inc.",0.007907843266511278
633330000.0,NYSE:GNC,9.182118786542448,"GNC Holdings, Inc.",0.007868825149731966
6580000000.0,NASDAQ:PTC,8.068578538652273,PTC Inc.,0.006929955212036971
142050000.0,NASDAQ:PPHM,7.299885160278123,Peregrine Pharmaceuticals Inc.,0.006254877976110839
4610000000.0,NASDAQ:PEGA,7.238701275996079,Pegasystems Inc.,0.0062138816070251126
3370000000.0,NYSE:BDC,7.2110681067869615,Belden Inc,0.006187034593775613
1420000000.0,NASDAQ:RMBS,7.094038196245235,"Rambus, Inc.",0.006081777119657947
1790000000.0,NYSE:CLS,7.003607132288062,"Celestica, Inc.",0.006005242307323531
3950000000.0,NASDAQ:ENTG,6.75890417662816,"Entegris, Inc.",0.0058011054209875425
180760000.0,NASDAQ:CAMT,6.715573365710854,Camtek Ltd.,0.005754340774817876
31690000000.0,NYSE:INFY,6.583909370003499,Infosys Limited,0.005722109204299511
5120000.0,NASDAQ:CCCL,6.662562227087012,"China Ceramics Co., Ltd.",0.005708471867489805
582390000.0,NASDAQ:ANIP,6.6452243197878715,"ANI Pharmaceuticals, Inc.",0.005695093048033987
951880000.0,NASDAQ:CSIQ,6.163466854970664,Canadian Solar Inc.,0.005283269912706367
3690000000.0,NYSE:B,5.987919269518622,"Barnes Group, Inc.",0.005139863502160036
25330000000.0,NYSE:APH,5.778910563798778,Amphenol Corporation,0.005016124950791654
32130000.000000004,NASDAQ:EFOI,5.822202898430542,"Energy Focus, Inc.",0.004988524162086893
99370000.0,AMEX:BVX,5.76376315825201,Bovie Medical Corporation,0.004938625158849235
8920000.0,AMEX:APHB,5.754153709959314,AmpliPhi Biosciences Corporation,0.0049301605138147835
120820000.0,NASDAQ:PRN,5.554492240284594,PowerShares DWA Industrials Momentum Portfolio,0.004759377460651738
107400000000.0,NASDAQ:NVDA,4.951346027711579,NVIDIA Corporation,0.004516945910429108
24210000000.0,NYSE:DLR,5.113459094145867,"Digital Realty Trust, Inc.",0.0044431044396429
1230000000.0,NASDAQ:ASTE,5.144769360306223,"Astec Industries, Inc.",0.004411164879829731
167580000.0,NASDAQ:LYTS,5.127338341370958,LSI Industries Inc.,0.0043935131514843745
96940000.0,NASDAQ:TRNS,5.07138888746354,"Transcat, Inc.",0.004345395219867546
17170000.0,NASDAQ:IKNX,5.064423056745976,Ikonics Corporation,0.004339222928284563
23580000000.0,NYSE:PH,4.941093957976203,Parker-Hannifin Corporation,0.004293811545352307
2730000000.0,NYSE:ESL,4.947062004313852,Esterline Technologies Corporation,0.004245605851520664
16670000.000000002,NASDAQ:ASTC,4.938267159149531,Astrotech Corporation,0.004231131741290578
463600000.0,NASDAQ:HCCI,4.898911907461926,"Heritage-Crystal Clean, Inc.",0.004198555227602659
2550000000.0,NYSE:KBR,4.876571599724714,"KBR, Inc.",0.004184749623799116
1260000000.0,NYSE:ACCO,4.848896412048538,Acco Brands Corporation,0.0041577387457471665
21870000000.0,NYSE:K,4.587991233834453,Kellogg Company,0.003986901499095308
1900000000.0,NASDAQ:RGEN,4.639650384519587,Repligen Corporation,0.003980094173372848
19920000.0,NASDAQ:RFIL,4.5361525523197646,"RF Industries, Ltd.",0.0038866097384992475
60290000000.0,NYSE:DHR,4.295215455587873,Danaher Corporation,0.0038343026307759136
225410000.0,NASDAQ:LAWS,4.328524295819052,"Lawson Products, Inc.",0.003709240106693939
1950000000.0,NASDAQ:BLDR,4.31840950243067,"Builders FirstSource, Inc.",0.0037049840324416866
2760000000.0,NYSE:AAN,4.281798093698934,"Aaron&#39;s,  Inc.",0.0036756869015617884
24090000.0,NYSE:XRF,4.219634053166871,China Rapid Finance Limited,0.0036154285181566586
40650000.0,AMEX:FRD,4.217895073629192,Friedman Industries Inc.,0.0036139809152970766
5480000000.0,NYSE:BAH,4.150093762543051,Booz Allen Hamilton Holding Corporation,0.0035697988920524756
11560000000.0,NYSE:ARNC,4.128132336200684,Arconic Inc.,0.0035665306286721773
215320000000.0,NASDAQ:ELEC,3.4721378782586436,Electrum Special Acquisition Corporation,0.00352554646991428
131889999.99999999,NASDAQ:RVLT,4.096272954635603,"Revolution Lighting Technologies, Inc.",0.0035100088571229835
1550000000.0,NASDAQ:FOXF,3.9935636627068436,Fox Factory Holding Corp.,0.003425634405276115
1880000000.0,NYSE:CJ,3.989423977555975,C,0.0034229314376163097
269230000.0,AMEX:XXII,3.988049177342083,"22nd Century Group, Inc",0.0034176343389429502
